Nro,Job Title,Description,Majors/Concentrations,Qualifications
10,Ejecutivo Semisenior De Ventas Industriales,"Funciones:

•	Realizar prospección, encontrar nuevas oportunidades de negocio, establecer contacto con los clientes y preparar la estrategia de las visitas a realizar.
•	Asesorar al cliente con la mejor solución, una comunicación efectiva y realizando el seguimiento necesario hasta obtener la decisión de compra.
•	Realizar visitas semanales y/o mensuales de fidelización, generando reporte de incidencias.
•	Cumplimiento de cuota mensual de ventas y fidelización de clientes.
•	Analizar, desarrollar y diseñar planos de sistemas de ventilación para proyectos industriales.
•	Realizar los cálculos justificativos de los sistemas planteados (Cálculos y estudios de cargas térmicas, caudales de ventilación, dimensionamiento de equipos, etc.).
•	Manejar e interpretar los requerimientos de los proyectos para entender, anticipar y cumplir con los alcances.
•	Generar reporte mensual de ventas y análisis de cumplimiento de objetivos.
•	Realizar seguimiento constante a proyectos y clientes encomendados.
•	Investigación constante del mercado y sus precios (reportes mensuales).
•	Soporte técnico, capacitación y entrenamiento para clientes internos y externos.
•	Lograr cercanía y flujo de información con el área técnica y comercial de fábricas.
•	Plantear constantemente iniciativas de mejora continua.
•	Selección de equipos y elaboración de presupuestos para proyectos y clientes.
•	Liderar las actividades de mercadeo asistiendo a exposiciones, conferencias y otros eventos promocionales.
•	Brindar soporte administrativo y comercial al proceso de post venta.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Requisitos:

•	Profesional Bachiller o Titulado en Ing. Mecánica, Industrial, Eléctrica, o carreras afines  
•	Experiencia mínima de 04 años o más en posiciones similares.
•	Experiencia y habilidades comprobadas en atención al cliente, Ventas Comerciales y/o industriales.
•	Conocimientos en ventilación, instalaciones y proyectos industriales.
•	Conocimiento de Ms Office a nivel intermedio/avanzado. 
•	Conocimiento de AutoCAD a nivel básico/intermedio.
•	Idioma Inglés a nivel intermedio."
11,Ejecutivo Semisenior De Ventas Comerciales,"Funciones:

•	Realizar prospección, encontrar nuevas oportunidades de negocio, establecer contacto con los clientes y preparar la estrategia de las visitas a realizar.
•	Asesorar al cliente con la mejor solución, una comunicación efectiva y realizando el seguimiento necesario hasta obtener la decisión de compra.
•	Realizar visitas semanales de fidelización, generando reporte de incidencias.
•	Cumplimiento de cuota mensual de ventas y fidelización de clientes.
•	Generar reporte mensual de ventas y análisis de cumplimiento de objetivos.
•	Realizar seguimiento constante a proyectos y clientes encomendados.
•	Investigación constante del mercado y sus precios (reportes mensuales).
•	Soporte técnico, capacitación y entrenamiento para clientes internos y externos.
•	Lograr cercanía y flujo de información con el área técnica y comercial de fábricas.
•	Plantear constantemente iniciativas de mejora continua.
•	Selección de equipos y elaboración de presupuestos para proyectos y clientes.
•	Liderar las actividades de mercadeo asistiendo a exposiciones, conferencias y otros eventos promocionales.
•	Brindar soporte administrativo y comercial al proceso de post venta.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Requisitos:

•	Profesional Bachiller o Titulado en Ing. Mecánica, Industrial, Eléctrica, o carreras afines  
•	Experiencia mínima de 04 años o más en posiciones similares. 
•	Conocimientos en ventilación, instalaciones y proyectos industriales.
•	Conocimiento de Ms Office a nivel intermedio/avanzado. 
•	Conocimiento de AutoCAD a nivel básico/intermedio.
•	Inglés a nivel intermedio.
•	Disponibilidad para realizar viajes."
12,JEFE DE MANTENIMIENTO HUACHIPA,"•	Gestionar el correcto mantenimiento preventivo, predictivo y correctivo de los equipos del Centro de Producción de acuerdo a las recomendaciones de los fabricantes. 
•	Realizar el seguimiento y priorizar la ejecución de gastos en reparaciones del Centro de Producción de acuerdo a los lineamientos establecidos por la gerencia. 
•	Garantizar el correcto estándar sanitario del equipamiento e infraestructura del Centro de Producción.
•	Manejo de indicadores, gestión del presupuesto y análisis de tiempos para el retorno de la inversión.
•	Negociación con proveedores tanto a nivel nacional como en el extranjero.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","• Experiencia en empresas de consumo masivo como Jefe o supervisor de mecánicos o como Jefe de mantenimiento.
- Bachiller o técnico de las carreras de Ingeniería Mecánica, Ingeniería Eléctrica o Carreras afines.
• Inglés técnico.
• Conocimiento del mercado de repuestos local
. Conocimiento de sistemas de frio (deseable).
• Conocimiento HACCP (deseable), Mejora continua (deseable)."
13,Asesor Comercial Jr.,"1. Registrar oportunamente la cotización en el sistema y gestionar con los Gerentes de Producto los descuentos necesarios para la cotización 
2. Enviar al cliente la cotización, solicitándole su confirmación de recepción, y hacer el seguimiento pertinente a las mismas. 
3. Hacer seguimiento a la entrega de las órdenes de pedido de los clientes 
4. Coordinar precios y cerrar las ventas provenientes de las Oportunidades de negocio 
5. Consolidar información semanales de cotizaciones y ventas","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Recien egresado de las carreras de Ing. Electrónica, Telecomunicaciones o Sistemas interesados en ingresar al área comercial."
14,Coordinador de Proyectos,"- Gestión de proyectos y /o servicios asignados.
- Coordinación directa con los clientes
- Elaboración de informes de avance de obra.
- Responsable de la creación y aprobación , el seguimiento y cumplimiento del cronograma.
- Responsable de la supervisión y el control del cumplimiento de la planificación de cada proyecto y/o servicio.
- Realizar las valorizaciones de los servicios y/o proyectos para presentar al cliente.
- Apoyar de la elaboración del presupuesto.
- Participar en la capacitación de personal de proyecto.
- Identificar y proponer mejoras y buenas prácticas en los procesos del área.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA","- Carreras de Ingeniería Industrial, Ingeniería Electrónica. (Egresados 2014, 2015, 2016)
- Experiencia mínima de 01 año en puestos similares y/o proyectos.
- Manejo de Microsoft Office nivel avanzado.
- Manejo de Microsoft Project
- Idioma inglés Intermedio.
- Disponibilidad de viaje al interior del país. (Solo por supervisión)
- Conocimiento en Gestión de Proyectos
- Conocimiento en fibra óptica (no indispensable)
- Conocimiento de costos y presupuestos"
15,Practicante Preprofesional de Ingeniería Electrónica,"1.	Levantar información y realizar planos eléctricos, mecánicos y neumáticos en Autocad según requerimiento. 
2.	Elaborar procedimientos para la operación de los diversos equipos. 
3.	Realizar la programación en PLCs, Panelview’s, Variadores de Velocidad AC y DC, para desarrollos en proyectos o resolución de  problemas de secuencias en la maquinaria o procesos.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","•	Estudiante de último ciclos de Ingeniería Electrónica o Mecatrónica (IX ciclo en adelante)
•	Autocad a nivel Básico
•	Conocimientos en programación de Variadores de Velocidad de corriente alterna y continua. Deseable de las marcas Allen Bradley y Siemens.
•	Conocimientos  en programación de PLC’s: Programas RsLinx, RsLogix 5, RsLogix 500 y RsLogix 5000.
•	Conocimientos  en programación de Panelview’s: Programas PanelBuilder32 y Factory Talk View Machine 
Edition.
•	Conocimientos en programación de Sistemas SCADA: Programas Factory Talk View Server Edition."
16,Ingenieros Egresados - Intercorp,"Implementar proyectos de mejora en las áreas de Procesos, Supply Chain, Innovación Digital y Tecnología, planteando estrategias de optimización, eficiencia y/o modernización que impacten en el desarrollo sostenible del grupo.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","•	EGRESADOS 2016 de las carreras de Ingeniería Empresarial, Ingeniería Industrial, Ingeniería de Sistemas, Ingeniería de Software, Ingeniería Electrónica o Eléctrica y relacionados.
•	Experiencia mínima de 3 meses en áreas de mejora de procesos, Supply Chain, Digital y/o Tecnología.
•	Conocimiento en MS Office Avanzado, fundamentos de Coding
•	Fundamentos de Analytics y Big data
•	Fundamentos de metodologías Agile y/o Lean
•	Inglés Avanzado
•	Actitud Innovadora, flexibilidad, comunicación a todo nivel y proactividad."
17,SUPERVISOR DE MANTENIMIENTO Y SERVICIOS DE SEGURIDAD ELECTRONICA,"•	Liderar los proyectos y servicios que se le asignen, con el fin de cumplir con los objetivos de cronograma, margen, alcance y satisfacción de cliente designados.
•	Medir el desempeño presupuestario aspirado.
•	Dirigir la ejecución de los servicios o proyectos bajo su responsabilidad, su puesta en marcha, programación, pruebas y asegurar la calidad en su funcionamiento.
•	Dirigir las pruebas de aceptación de obra.
•	Dirigir y supervisar las actividades de las personas a su cargo para prevenir los riesgos y facilitar el trabajo en equipo.
•	Supervisar el cumplimiento del uso de EPP por el personal operario.
•	Garantizar la disponibilidad y la conformidad de la documentación técnica de los servicios y/o productos con las directrices, procedimientos generales y en particular con el Sistema de Gestión de la Calidad de la Compañía
•	Cuidar la formación y el adiestramiento en sus técnicas, de todos sus colaboradores y propio.
•	Planificar y controlar la mejora continua de la calidad de los productos/servicios, de los procesos y de los procedimientos.
•	Mejorar el nivel de satisfacción de los Clientes, sean internos o externos.
•	Usar y conservar adecuadamente los EPP asignados
•	Reportar incidentes o accidentes al CSST.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","•	Bachiller de Ingeniería Electrónica.
•	Oficial de FFAA retirado con experiencia probada en la gestión de programas de seguridad y protección física. (deseable)
•	Microsoft office nivel Intermedio
•	MS Project 
•	AutoCAd
•	Nivel de Inglés básico (deseable)
•	Certification en PMP (Project Management Professional) (deseable)
•	Experiencia mínima de 2 años en posiciones similares como responsable o jefe de sistemas integrados de seguridad electrónica.
•	Análisis y Solución de problemas
•	Criterio en la toma de decisiones."
18,GESTOR DE MANTENIMIENTO DE SEGURIDAD ELECTRONICA,"•	Liderar el proyecto de mantenimiento preventivo y correctivo, así como nuevas instalaciones con el fin de asegurar el cumplimiento del contrato establecido con el cliente, en términos de cronogramas, presupuestos, seguridad y calidad.
•	Supervisar y dirigir la ejecución de las actividades propias de los planes y rutinas, a fin de que se cumplan de acuerdo a los alcances previstos.
•	Asegurar los objetivos de cronograma, margen, alcance y satisfacción de cliente esperados.
•	Identificar incumplimientos y/desviaciones a los protocolos, planes y/o rutinas previstas, tomando las acciones correctivas que sean necesarias. 
•	Elaborar los informes preliminares de avance de obra y finales en los tiempos previstos, de forma clara, concisa y concreta.
•	Garantizar la disponibilidad y la conformidad de la documentación de los servicios y/o productos con las directrices, procedimientos generales y en particular con el Sistema de Gestión de la Calidad de la Compañía.
•	Fomentar e identificar la búsqueda de oportunidades de mejora continua de la calidad de los servicios, de los procesos y de los procedimientos.
•	Ser el punto de enlace y coordinación de primer nivel ante el cliente.
•	Dirigir y supervisar las actividades de las contratistas a su cargo para reducir los riesgos, prevenir accidentes y facilitar el trabajo en equipo. 
•	Supervisar el cumplimiento del uso de EPP por el personal operario.
•	Usar y conservar adecuadamente los EPP asignados
•	Reportar incidentes o accidentes al CSST.
•	Participar activamente en las charlas y toda actividad de SST que organice la empresa.
•	Participar en la investigación de accidentes e incidentes si se le requiere.
•	Participar en la elaboración del IPER y mapa de riesgos cada vez que se requiera.
•	Otras funciones que su jefe inmediato le asigne.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","•	Bachiller de Ingeniería Electrónica.
•	Oficial de FFAA retirado con experiencia probada en la gestión de programas de seguridad y protección física. (deseable).
•	Certification en PMP (Project Management Professional) (deseable)
•	MS Project  y AutoCAd
•	Certification en PMP, CCTV , Alarma , Deteccion Incendio , Control de Accesos , OCULARIS, CITRIX; ON GUARD-LENEL.
•	Microsoft office nivel Intermedio
•	Nivel de Inglés básico (deseable)
•	Experiencia mínima de 2 años en sistemas integrados de seguridad electrónica.
•	Análisis y Solución de problemas
•	Criterio en la toma de decisiones.
•	Liderazgo"
19,Practicante de Laboratorio,"Realizar una tesis como parte de proyectos de investigación financiados por CONCYTEC en el desarrollo de celdas fotovoltaícas, el desarrollo de polímeros con aplicaciones en medicina y otras industrias.
Solo alumnos de Ing. Mecánica que estén por llevar el curso de Tesis 1 este ciclo (2017-1).","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",Debe estar matriculado en el curso de Tesis 1 durante el ciclo 2017-1.
20,Asistente de Calidad - Villa El Salvador,"-Inspecciones dimensionales y visuales a la salida del tanque calibrador (líneas de fabricación de tubos).
-Inspecciones dimensionales y visuales a la salida de la cortadora.
-Llenado de formatos de inspección de calidad.
-Cruce entre la data registrada en el Protocolo de Producción y las normas de calidad ASTM 714 e ISO 4427.
-Seguimiento en piso de la producción de tuberías y accesorios
-Medición de la humedad de la mezcla
-Medición de peso de tuberías.
-Llenado de checklist diario de control de calidad: limpieza, funcionamiento de equipos, estado de almacenes, uso de EPPs, cumplimiento de registros de producción, cumplimiento de procedimientos estandarizados.
-Inspección de la entrada de productos/accesorios al almacén, según el procedimiento de “compras y recepción de mercadería”, verificando que lo entregado coincida con la Nota de Pedido y la Orden de Compra.
-Mantenimiento y actualización del ISO 9001: llenado de registros, auditorías internas, seguimiento de acciones correctivas).","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado de Ingeniero Mecánico, Ingeniero Industrial, Ingeniero químico o a fines
- Conocimientos estadísticos de muestreo
- Manejo de programas: Microsoft Excel a nivel intermedio.
- Experiencia de 1 año en puestos similares"
21,Operations Engineer,"1. Interface to customers and partners to understand needs and manage cases.
2. Deliver proactive and reactive support management, responding to support requests.
3. Prioritizes and schedules incoming faults and requests. Facilitates the resolution of incidents.
4. Ensures all work is carried out and documented in accordance with required standards, methods and procedures.
5. Works collaboratively with others within team and also extended team members.
6. Displays sound judgment and makes effective, timely decisions.
7. Ability to work under pressure and to manage own workload within guidelines.
8. Finds practical and innovative solutions for own area, builds on others’ ideas.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","1. Technical Degree in Engineering, Information Systems or Telecommunications
2. At least 2 years of experience from IT and Telecom market, operator experience is highly valued
3. Very good command of English and Spanish
4. Good general understanding of Mobile Technology
5.Experience in a customer service environment
6. At least 2 years experience in several of the following áreas : IP skills (routing, switching, load-balancing, firewall technologies). Mobile networks GSM, UMTS, LTE, . Protocols SS7, MAP, Diameter, Camel, SMPP, SIGTRAN. Linux and Unix Scripting.  PostgreSQL, MySQL or Oracle"
22,Programador Oracle Cloud,"Empresa que ofrece servicios de programación y software a empresas en el extranjero se encuentra en busca de un profesional para que se haga cargo de:
1.- brindar el servicio de configuración de la plataforma Oracle Cloud HCM y Oracle Cloud Financials.
2.- mantener contacto con el cliente para customizar diversos requerimientos para el funcionamiento de la plataforma
3.- asegurar que la información proporcionada está acorde a los requerimientos y cargarla a las bases de datos en la nube del cliente.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","- Estudiante de último año o recién egresado de las carreras: Ingeniería informática, Ingeniería del Software, Ingeniería de Sistemas, Computación, Informática o afines
- Indispensable: Experiencia configurando soluciones Oracle Cloud
- Proactivo, dinámico, iniciativa, con habilidad para trabajar en equipo.
- Con capacidad para trabajar por objetivos y metas. Alto nivel de responsabilidad.
- Nivel de Inglés: Intermedio (escrito)"
23,Supervisor de Daños y Garantías,"Será responsable de la manipulación de daños y garantías en lo que respecta al equipo de manejo de carga, instalaciones técnicas y repuestos. 

Su objetivo es reducir los costos mediante el análisis adecuado de las cotizaciones de reparación y proporcionar soluciones de prevención, tras el tiempo de garantía de nuevos equipos, repuestos y reparaciones.","INGENIERÍA DE MINAS, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Con 4 años experiencia en Garantías en trabajos en Puerto, marina, minería o sector petrolero, deseable que haya manejado personal
Se requiere profesionales de Ingeniería Industrial, Ingeniería Mecánica Eléctrica  y/o carreras afines. Con amplios conocimientos de las normas legales relativas a daños, garantías, medio ambiente y seguridad. Dominio de sistemas informáticos y/o ERP e Inglés Avanzado. Abstenerse los que no hayan ocupado cargos en Garantías"
24,Practicante de Proyectos,"Empresa industrial busca puesto de Practicante de Proyectos que cumpla con las siguientes funciones:

1. Desarrollo de proyectos de ingeniería en minería y construcción.
2. Levantar información en visitas técnicas a obras.
3. Elaborar propuestas técnicas para licitaciones y otros concursos.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Egresado o estudiante de los ultimos ciclos de carreras de ingeniería mecánica o mecatrónica.
 Con experiencia de prácticas en empresas industriales en áreas de proyectos, oficina técnica o afines.
 Conocimientos básicos de Excel, Autocad y Project a nivel intermedio."
